Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
55,0,0.202084,66,0,0.800748,2031.0,7,0,0,0,2.0
56,0,0.475285,65,0,10.0,6952.0,13,0,2,0,2.0
57,0,0.073322,40,0,0.116011,,7,0,0,0,1.0
58,0,0.287776,47,0,4.431879,1279.0,8,0,1,0,1.0
59,0,0.150455,56,0,1.087183,7204.0,7,0,1,0,1.0
60,0,0.268982,65,1,1.513867,1553.0,4,0,0,0,0.0
61,0,0.35833,45,1,0.139109,5496.0,3,0,1,0,2.0
62,0,0.395674,49,0,0.184054,5947.0,8,0,3,0,1.0
63,0,0.225793,36,0,0.536327,9981.0,7,0,0,0,0.0
64,0,0.117562,35,0,0.906425,20442.0,11,0,0,0,0.0
65,0,0.221736,63,0,0.896635,1649.0,10,0,0,0,2.0
66,0,7.140001,70,0,0.501635,,9,0,0,0,1.0
67,0,0.282708,50,0,0.284426,,6,1,4,0,0.0
68,0,0.054701,66,0,0.713758,6953.0,7,0,0,0,1.0
69,0,0.189702,57,0,0.06901,5840.0,7,0,1,0,0.0
70,1,0.310597,42,0,7.98585,3706.0,8,0,0,0,0.0
71,0,0.523672,57,0,0.50428,3453.0,8,0,1,0,1.0
72,0,0.605671,73,1,0.234602,2011.0,7,0,1,0,0.0
73,1,0.392768,51,0,0.256188,,10,0,1,2,0.0
74,0,0.16875,73,0,0.158084,7096.0,5,0,0,0,2.0
75,0,0.156742,21,0,2.113836,10241.0,7,0,1,0,0.0
76,0,0.259216,63,1,1.127713,3834.0,5,0,0,3,0.0
77,0,0.271651,53,0,0.524443,2905.0,7,0,1,0,2.0
78,0,0.172646,47,1,0.510403,2074.0,4,0,2,0,2.0
79,0,0.066657,53,0,0.37575,6549.0,14,0,3,0,0.0
80,0,0.350447,24,0,0.053375,2139.0,7,0,0,0,2.0
81,0,0.164533,48,0,1.548914,21567.0,8,0,2,0,1.0
82,0,0.369812,56,0,0.610713,,5,0,1,0,0.0
83,0,0.337892,72,0,1.243719,6117.0,9,0,0,0,0.0
84,0,0.506867,44,3,1.801147,17214.0,7,0,2,0,1.0
85,0,0.623959,40,0,2.137363,7936.0,8,0,0,0,2.0
86,0,4.157856,44,0,0.727888,5656.0,4,0,1,0,1.0
87,0,0.1171,64,0,0.717449,2264.0,4,0,0,0,1.0
88,0,0.578632,56,0,2.323729,1627.0,4,0,0,0,0.0
89,0,0.436113,44,0,0.535458,9100.0,6,0,1,0,0.0
90,0,0.11128,59,0,2.947525,16398.0,4,0,2,1,0.0
91,0,0.593374,53,1,2.234165,,6,0,2,0,0.0
92,1,0.075099,65,0,0.319958,1975.0,4,0,0,0,1.0
93,0,0.094594,42,0,0.267169,687.0,9,0,0,0,0.0
94,0,0.224549,47,0,0.15915,2242.0,9,0,0,0,1.0
95,0,0.443634,46,0,1.77058,,5,0,0,0,1.0
96,0,0.192811,31,0,0.024319,17664.0,15,0,2,0,0.0
97,0,0.337064,56,2,0.024908,8421.0,10,0,1,0,0.0
98,0,0.042072,55,0,0.952422,6273.0,5,0,0,0,2.0
99,0,0.697849,52,1,0.099766,3568.0,10,0,1,0,0.0
100,0,0.174604,48,0,0.171995,3082.0,9,0,0,0,0.0
101,0,0.344296,32,0,0.75321,,11,0,0,0,0.0
102,0,0.291758,46,0,0.098345,5770.0,8,0,1,0,0.0
103,0,0.284866,47,0,0.120998,,5,0,0,2,1.0
104,0,0.108018,40,0,4.056027,2867.0,7,0,2,0,0.0
105,0,0.046615,49,0,0.973546,2473.0,10,0,1,0,0.0
106,0,0.161468,57,1,1.857658,,8,0,1,0,0.0
107,0,0.365627,78,0,0.297011,7710.0,7,98,0,0,1.0
108,0,0.179047,54,0,4.779536,4509.0,10,0,1,0,0.0
109,0,0.425108,55,0,0.015082,,9,0,0,0,1.0
110,0,0.412396,50,0,0.087724,14055.0,6,0,1,0,0.0
111,0,0.059611,25,0,0.076625,2815.0,7,0,0,0,1.0
112,0,0.216586,51,0,0.201652,21836.0,4,0,0,0,0.0
113,0,0.334067,52,0,2.494016,2872.0,5,0,3,0,0.0
114,0,0.140079,86,0,6.39322,5278.0,9,1,0,0,0.0
115,0,0.502781,49,0,0.719061,3924.0,11,0,1,0,0.0
116,0,0.223759,56,0,1.18692,5424.0,6,0,0,0,
117,0,0.073872,51,1,0.033638,7014.0,11,0,1,0,3.0
118,0,0.506037,35,98,1.118954,,3,0,0,1,0.0
119,0,0.313483,67,0,0.273373,2690.0,10,2,1,0,0.0
120,0,0.280862,62,0,0.165405,2001.0,9,0,1,0,0.0
121,0,0.241508,63,0,0.362015,,8,0,2,1,2.0
122,0,0.099514,39,0,0.493711,3336.0,5,0,0,0,2.0
123,0,0.164845,71,0,2.840531,8598.0,8,0,4,0,1.0
124,0,0.030808,32,0,0.090455,1358.0,3,0,0,0,0.0
125,0,0.318559,60,3,0.174727,,5,0,2,0,2.0
126,0,0.205764,82,0,2.574697,4439.0,10,0,1,0,0.0
127,0,0.115095,38,0,0.135441,7174.0,7,0,0,0,
128,0,0.078232,44,0,0.063979,556.0,11,0,2,0,1.0
129,0,0.125578,53,0,10.0,,5,0,0,0,1.0
130,0,0.157401,44,0,0.157262,1959.0,8,0,1,0,0.0
131,0,0.166338,30,98,0.496744,6370.0,5,0,2,1,1.0
132,0,0.528394,52,0,0.464108,2145.0,9,0,0,0,1.0
133,0,0.17343,37,1,3.188958,2479.0,7,0,4,0,0.0
134,1,0.176784,58,0,0.667245,3948.0,9,0,0,0,2.0
135,0,0.444612,39,0,0.886648,2117.0,12,0,0,0,0.0
136,0,0.120821,73,0,1.475603,3359.0,9,0,1,0,1.0
137,0,0.700411,41,0,1.665584,1891.0,9,0,0,0,0.0
138,0,0.163012,47,0,1.862163,1133.0,4,0,1,0,1.0
139,0,0.327546,63,0,3.132379,11096.0,9,0,2,0,0.0
140,0,0.528834,34,0,0.267649,1742.0,13,0,2,0,0.0
141,0,0.300363,55,0,0.192475,4260.0,8,0,1,0,0.0
142,0,0.04245,70,0,0.344694,8976.0,8,2,3,0,0.0
143,0,0.202442,29,0,0.243847,3005.0,8,0,0,0,1.0
144,0,0.348522,54,2,1.577656,2539.0,7,0,0,0,2.0
145,0,0.048759,55,0,0.051093,5889.0,7,0,0,0,1.0
146,0,0.0485,62,0,2.897189,12020.0,7,0,4,0,0.0
147,0,0.52537,34,0,1.070116,1928.0,9,1,1,0,0.0
148,0,0.281398,33,0,0.081914,,5,0,0,0,0.0
149,0,0.077543,59,0,0.632214,1229.0,7,0,1,0,0.0
150,0,0.163114,56,0,0.905519,3588.0,6,0,1,0,2.0
151,0,0.250314,55,0,1.764431,,7,0,1,0,0.0
152,0,0.317507,56,0,0.56931,2480.0,9,0,1,0,0.0
153,0,0.117581,42,0,0.60578,3409.0,5,0,0,0,1.0
154,1,0.348595,55,0,0.522704,1593.0,9,0,0,0,1.0
155,0,0.333553,56,0,2.370142,5227.0,5,0,2,0,2.0
156,0,0.239185,41,0,5.838403,,9,0,0,2,1.0
157,0,0.212539,78,0,0.86825,,8,0,1,0,0.0
158,1,0.197829,58,0,0.299196,2986.0,8,0,1,0,2.0
159,0,0.303376,35,0,0.959695,7346.0,6,1,0,0,1.0
160,0,0.171794,61,0,5.794416,12960.0,7,0,3,0,1.0
161,0,0.245213,38,0,0.613069,1488.0,8,0,1,2,0.0
162,0,0.192709,63,0,0.260242,4293.0,3,0,2,0,1.0
163,0,0.214696,68,0,4.147019,6164.0,8,0,0,2,0.0
164,0,0.34277,40,0,0.803116,4529.0,12,0,2,0,2.0
165,0,0.401252,65,0,0.686539,677.0,10,0,2,0,3.0
166,0,0.25539,57,0,0.102758,7338.0,7,0,0,0,0.0
167,0,0.700311,63,0,0.697478,,5,0,2,0,0.0
168,0,0.245199,78,98,1.73182,5395.0,9,0,1,0,
169,0,0.191587,48,0,0.333412,2154.0,10,0,0,0,1.0
170,0,0.053095,41,0,0.459901,3260.0,10,1,0,0,1.0
171,0,0.193302,39,0,0.637333,20250.0,8,0,1,0,0.0
172,0,0.311314,40,3,0.662064,,14,0,2,0,0.0
173,0,0.56964,50,0,0.775167,8201.0,8,0,3,0,0.0
174,0,0.271418,56,0,4.951408,6536.0,9,1,1,0,0.0
175,0,0.194074,55,0,0.343977,2896.0,8,0,1,0,0.0
176,0,0.245304,63,0,0.275119,4186.0,6,0,0,0,1.0
177,0,0.624761,52,0,0.22877,4617.0,7,0,1,0,1.0
178,0,0.414462,72,0,0.412437,7628.0,11,0,1,0,1.0
179,0,0.41832,48,0,0.164721,16434.0,9,0,2,0,0.0
180,0,0.220535,90,0,0.46467,12024.0,5,0,2,0,2.0
181,0,0.487453,60,0,1.596489,1578.0,7,0,2,0,0.0
182,1,0.093211,39,1,2.038407,5879.0,8,0,1,0,1.0
183,0,0.507086,37,0,0.171719,,13,0,0,2,0.0
184,0,0.176313,58,0,0.388386,,8,0,1,0,1.0
185,0,0.254458,48,0,1.155062,2970.0,12,0,1,0,0.0
186,0,0.172746,61,2,0.294588,50000.0,8,0,0,0,0.0
187,0,0.370363,58,0,1.895036,1769.0,6,0,2,0,1.0
188,0,0.341601,50,1,0.491592,,9,0,0,2,1.0
189,0,0.377681,40,0,0.085164,5924.0,5,0,1,0,1.0
190,0,0.082617,30,4,0.947231,26727.0,12,0,0,2,0.0
191,0,0.130241,45,0,1.553956,2517.0,10,0,2,0,0.0
192,0,0.282344,63,0,0.213433,3973.0,9,0,3,0,1.0
193,0,0.264583,54,0,0.327032,,8,0,0,0,0.0
194,0,0.328398,34,0,0.289338,4845.0,10,0,1,0,0.0
195,0,10.453389,54,0,0.878737,3760.0,8,0,1,0,0.0
196,0,0.082571,57,0,0.228804,7727.0,14,0,0,0,0.0
197,0,0.277971,39,0,0.491274,6112.0,15,0,2,0,0.0
198,0,0.705418,54,1,0.169546,11207.0,5,0,2,0,1.0
199,0,0.106212,52,0,0.469321,13810.0,11,0,3,0,0.0
200,0,0.07245,35,0,0.569373,,8,0,0,0,2.0
201,0,4.578086,57,0,0.336766,6206.0,7,0,1,0,0.0
202,0,0.497723,59,0,0.074924,5833.0,4,0,1,0,1.0
203,0,0.463339,67,0,6.257789,7268.0,9,0,2,0,1.0
204,0,0.218762,66,0,0.957464,,7,0,1,0,
205,0,0.403638,32,0,0.286202,,14,0,1,0,2.0
206,0,0.108384,38,0,0.924392,12801.0,5,0,2,0,0.0
207,0,0.511338,59,0,1.572593,16529.0,14,0,2,0,0.0
208,0,0.177901,59,0,1.067778,1471.0,8,0,1,2,0.0
209,0,0.286542,59,0,1.423506,4954.0,6,3,0,0,2.0
210,0,0.28506,90,0,2.104263,2832.0,12,0,3,0,2.0
211,0,0.315626,59,0,0.228874,3832.0,9,0,0,0,0.0
212,0,0.110683,67,1,0.41207,6781.0,5,0,0,0,
213,0,0.724189,65,0,0.666679,8396.0,14,0,0,0,1.0
214,0,0.136349,61,0,0.984448,4493.0,9,0,1,0,0.0
215,0,0.526913,47,0,0.881612,1063.0,13,0,2,0,1.0
216,0,0.375409,62,0,0.048171,2270.0,11,0,0,0,0.0
217,0,0.203691,41,0,10.0,10068.0,11,0,0,0,1.0
218,0,0.074684,48,0,4.497716,548.0,4,0,0,0,0.0
219,0,0.202879,45,0,0.311647,,5,0,3,0,1.0
220,0,0.078196,53,0,1.361028,7457.0,12,0,0,0,2.0
221,0,0.178272,84,0,0.261963,14086.0,9,0,3,0,1.0
222,0,10.447786,25,0,0.178149,4192.0,9,0,0,0,2.0
223,0,0.068556,61,0,0.208736,944.0,9,1,0,0,0.0
224,0,0.161295,29,0,0.342761,,7,0,1,0,
225,0,0.546916,45,0,1.042788,,7,0,1,0,0.0
226,0,0.144485,67,0,1.10798,10298.0,5,0,0,0,1.0
227,0,0.169973,52,98,0.470642,,9,0,0,0,1.0
228,0,0.075042,36,0,0.08821,,8,0,1,0,1.0
229,1,0.340204,41,0,1.032595,3209.0,10,0,1,0,1.0
230,0,0.212861,61,0,3.233317,2551.0,5,0,0,1,0.0
231,0,0.261818,41,1,0.465717,10554.0,9,0,1,0,1.0
232,0,0.271164,55,0,0.560619,1885.0,6,0,1,0,1.0
233,0,0.209097,52,0,7.492948,2404.0,12,0,1,0,0.0
234,0,5.914494,42,0,1.730003,2032.0,4,0,0,0,0.0
235,0,1.361023,82,0,0.196612,1491.0,21,0,2,0,0.0
236,0,0.440015,60,0,0.159763,5525.0,10,0,1,0,3.0
237,0,0.120209,23,0,0.139011,,8,0,0,0,1.0
238,0,0.355632,54,0,0.956288,4239.0,4,0,1,0,2.0
239,0,0.047303,42,0,4.152361,1473.0,12,0,2,0,0.0
240,0,0.179131,63,0,1.205563,9623.0,8,0,0,0,0.0
241,0,0.322037,40,0,0.191397,18931.0,10,0,1,0,4.0
242,0,0.212945,50,0,1.693701,2930.0,14,0,1,0,0.0
243,0,0.664605,59,0,0.233678,3351.0,11,0,1,0,
244,0,0.297997,64,0,10.0,,6,0,1,0,1.0
245,0,0.251415,35,0,0.309973,,8,0,2,0,0.0
246,0,0.295392,47,2,0.168419,,9,0,1,1,0.0
247,0,0.280024,45,0,0.874872,1692.0,3,0,0,0,1.0
248,0,0.178212,42,0,1.764581,8144.0,7,0,1,0,0.0
249,0,0.187653,76,0,0.939609,9313.0,6,0,0,0,0.0
250,0,0.374978,57,0,0.896911,4938.0,8,0,1,0,0.0
251,0,0.309212,34,0,1.365677,3144.0,10,0,2,0,3.0
252,0,0.089402,64,0,0.671366,10888.0,11,0,1,0,0.0
253,0,0.303423,81,0,0.98476,7498.0,7,2,2,0,1.0
254,0,0.176528,66,0,1.584531,2657.0,15,0,1,0,2.0
255,0,0.276852,30,0,0.13951,5111.0,13,0,0,0,2.0
256,0,0.228175,45,0,0.450568,,10,0,2,0,2.0
257,0,0.068836,69,0,1.435753,8507.0,5,0,1,0,0.0
258,0,0.349852,42,0,0.098084,3984.0,8,0,0,0,0.0
259,0,0.491313,58,0,0.922879,3468.0,4,0,1,0,0.0
260,0,0.542329,62,0,0.339373,,12,0,1,0,0.0
261,0,0.115934,39,0,0.449261,,7,0,1,0,0.0
262,0,0.182657,51,1,0.629206,10056.0,8,0,0,0,2.0
263,0,0.136841,21,0,0.091727,7886.0,7,0,0,0,0.0
264,0,0.155661,37,0,0.307632,,8,0,2,0,0.0
265,0,0.235295,48,1,2.93329,9053.0,12,1,1,0,0.0
266,0,0.228431,34,0,0.057592,,3,0,1,0,0.0
267,0,0.506878,74,0,4.199902,3493.0,11,0,2,0,1.0
268,0,0.13968,31,0,0.304573,4448.0,7,0,1,0,0.0
269,0,0.464276,45,0,0.301354,4365.0,7,0,1,0,1.0
270,0,0.323772,53,3,0.681161,7362.0,6,0,0,0,0.0
271,1,10.209128,72,1,3.417564,,4,0,0,0,0.0
272,1,11.791292,31,0,0.120923,3596.0,7,0,2,0,0.0
273,0,0.184361,68,0,0.320548,23742.0,8,0,0,0,1.0
274,0,0.030295,52,0,1.466115,,8,0,1,0,1.0
275,0,0.132978,38,0,1.535225,2674.0,5,0,0,1,1.0
276,0,0.124377,58,0,5.301137,7760.0,7,0,2,0,1.0
277,0,0.166696,54,0,0.16489,5402.0,3,0,1,0,1.0
278,0,0.248388,43,1,0.147303,6722.0,4,0,1,0,0.0
279,0,0.393749,52,0,1.645964,5485.0,3,0,2,0,0.0
280,0,0.415178,46,0,0.274902,,8,0,1,0,1.0
281,0,0.265489,53,0,1.034303,6480.0,6,0,1,0,0.0
282,0,0.087515,61,0,1.424658,,11,0,0,0,2.0
283,0,0.283138,74,0,0.084917,11313.0,9,0,1,0,1.0
284,0,0.24686,34,0,5.498524,5923.0,7,0,0,0,1.0
285,0,0.271701,81,0,0.929076,5416.0,6,0,0,3,1.0
286,0,0.504529,24,0,0.301512,,4,0,2,0,0.0
287,0,0.085642,49,0,0.689804,4560.0,7,0,1,0,1.0
288,0,0.230186,60,0,0.773994,4951.0,9,0,0,0,0.0
289,0,0.080385,55,0,0.822982,3073.0,12,0,1,0,0.0
290,0,0.171042,43,0,1.737829,2694.0,7,0,0,0,1.0
291,0,0.084154,49,0,0.307336,2210.0,7,0,0,0,1.0
292,0,0.296702,45,0,0.740498,,5,0,1,0,2.0
293,0,0.443398,43,0,0.420787,2431.0,4,0,0,0,0.0
294,0,0.301135,63,0,0.923386,4275.0,10,1,1,0,0.0
295,0,0.071816,56,0,0.735952,5337.0,14,0,1,0,0.0
296,0,0.203979,42,0,0.053075,3955.0,5,0,0,0,2.0
297,0,0.163131,64,0,0.274307,746.0,8,0,1,0,0.0
298,0,0.038645,56,0,0.069767,17320.0,8,0,0,0,0.0
299,0,0.566805,63,0,5.123822,11721.0,7,0,1,2,0.0
300,0,0.548313,60,0,1.838582,7020.0,11,0,1,0,0.0
301,0,0.117112,40,0,0.1341,22606.0,10,0,2,0,0.0
302,0,2.437447,44,0,1.661488,,8,0,1,1,0.0
303,0,0.247576,62,0,0.352482,22250.0,3,0,1,0,1.0
304,0,0.230522,60,0,0.748788,2270.0,12,0,0,0,1.0
305,0,0.721565,51,2,0.053282,5949.0,10,0,1,0,0.0
306,0,0.338591,53,1,0.994918,1773.0,14,98,0,0,0.0
307,0,0.135194,69,0,0.999707,4972.0,11,0,0,0,0.0
308,0,0.218504,43,0,0.0704,,7,0,0,0,0.0
309,0,0.203483,59,2,2.840617,4342.0,9,0,0,0,1.0
310,0,0.346591,49,0,2.432159,8700.0,9,0,2,0,0.0
311,0,0.174503,48,0,0.763462,5319.0,8,0,2,0,0.0
312,0,0.387472,67,0,0.378104,3235.0,4,0,0,0,1.0
313,0,0.28894,63,3,0.426544,,11,0,2,0,1.0
314,0,0.027743,63,2,4.374268,9402.0,7,0,3,0,0.0
315,0,0.098359,70,0,5.41364,2913.0,4,0,1,0,0.0
316,0,0.138148,52,0,0.312761,,13,0,1,0,2.0
317,0,0.221334,61,0,0.074992,13071.0,6,0,2,0,2.0
318,0,0.127429,47,0,0.513618,,9,0,2,0,0.0
319,0,0.110101,56,0,2.819843,,12,0,2,0,2.0
320,0,0.391529,50,0,0.276259,25548.0,8,0,1,1,1.0
321,0,0.422657,53,0,0.174494,6012.0,6,0,0,0,0.0
322,0,0.230764,60,0,5.889805,7936.0,7,0,3,1,0.0
323,0,0.214358,40,2,0.105405,11266.0,4,0,1,0,1.0
324,0,0.215303,81,0,3.27946,3942.0,3,0,2,1,1.0
325,0,0.552955,37,1,0.633628,,4,0,0,0,0.0
326,0,0.114762,35,0,0.560452,1717.0,6,0,1,2,0.0
327,0,0.660397,68,0,1.028381,5491.0,9,98,0,0,2.0
328,0,0.164441,63,0,0.542666,7320.0,5,0,1,0,2.0
329,0,0.198781,60,0,0.555564,7427.0,5,0,0,0,1.0
330,0,0.199051,60,0,0.212696,11525.0,10,0,1,0,0.0
331,0,0.117292,51,0,0.392673,2644.0,12,0,0,0,1.0
332,0,0.059922,39,0,1.376593,,9,0,0,0,1.0
333,0,0.183706,53,1,0.144503,22390.0,5,0,0,0,1.0
334,0,0.254184,42,0,1.729454,4357.0,7,0,1,0,0.0
335,0,0.484417,65,1,0.486724,5767.0,9,0,1,0,
336,0,0.202711,49,0,0.143954,4658.0,12,0,0,0,0.0
337,0,0.243227,40,0,0.521998,2546.0,8,0,1,0,0.0
338,0,0.211082,47,0,1.004791,18012.0,8,0,0,0,1.0
339,0,0.411776,57,0,0.235857,,5,0,2,0,0.0
340,0,0.208246,44,0,3.297087,,4,0,1,0,2.0
341,0,0.340496,40,1,1.80511,3426.0,9,0,1,0,0.0
342,0,0.170397,55,0,1.29929,990.0,7,0,0,0,0.0
343,0,0.260212,55,0,0.451143,2918.0,9,0,0,3,0.0
344,0,0.463728,44,98,1.669591,2265.0,8,0,0,0,3.0
345,0,0.211796,45,0,2.422215,8054.0,8,0,2,0,0.0
346,0,0.060094,55,0,0.293676,2867.0,9,0,0,1,1.0
347,0,0.29779,31,0,0.600354,,3,0,0,0,2.0
348,0,0.202955,32,0,0.499845,15044.0,9,0,0,0,0.0
349,0,0.219029,41,0,0.474759,,8,0,0,0,3.0
350,0,0.28876,49,0,3.265942,4136.0,8,0,1,0,0.0
351,0,0.453715,56,0,2.540571,5502.0,9,0,1,0,1.0
352,0,0.1413,72,0,2.082006,,9,0,1,0,2.0
353,0,0.246684,64,0,1.246072,4415.0,8,0,2,0,0.0
354,0,0.323509,49,0,0.643692,2469.0,5,0,2,0,1.0
355,0,0.387029,51,0,0.497955,8565.0,12,0,1,0,1.0
356,0,0.144445,37,0,1.03674,38491.0,7,0,0,0,1.0
357,0,0.230363,51,0,0.093032,7330.0,10,0,2,0,1.0
358,0,0.104935,47,0,1.774139,999.0,10,0,0,0,0.0
359,0,0.230254,56,0,1.935329,3681.0,11,0,0,0,0.0
360,0,0.310844,40,0,0.201054,5420.0,5,0,2,0,1.0
361,0,0.116845,59,0,0.120202,5270.0,7,0,1,0,0.0
362,0,0.362718,73,0,1.17127,2739.0,11,0,0,0,0.0
363,0,0.364543,50,0,0.096592,5980.0,11,2,1,0,0.0
364,0,0.267745,57,0,0.870306,1818.0,3,0,0,0,0.0
365,0,0.049397,61,0,0.241322,,6,0,1,0,2.0
366,0,0.31598,46,0,0.110967,8239.0,7,0,1,0,0.0
367,0,0.074019,55,0,1.452185,2180.0,8,0,1,0,2.0
368,0,0.31584,52,0,3.291384,7559.0,13,0,1,0,0.0
369,0,0.275087,53,0,0.379743,1643.0,9,0,1,0,0.0
370,0,0.270057,41,0,1.654378,20168.0,4,0,1,0,1.0
371,0,0.061737,52,0,0.243067,2645.0,8,0,1,0,1.0
372,0,0.263864,58,0,1.77493,4109.0,5,0,0,2,1.0
373,0,0.348419,72,0,0.339385,6402.0,5,0,0,0,4.0
374,0,0.128636,65,0,3.385292,,3,0,3,0,1.0
375,0,0.410587,82,0,0.040956,5512.0,13,0,0,0,1.0
376,0,0.107163,41,0,0.325043,,10,0,0,0,0.0
377,0,0.292113,64,98,0.393404,10598.0,12,0,2,0,0.0
378,0,0.508203,54,0,0.09221,9257.0,4,0,0,0,2.0
379,0,0.227807,82,0,1.424725,4283.0,8,0,1,0,3.0
380,0,0.06414,40,0,0.576075,4370.0,8,0,1,0,1.0
381,0,0.398938,40,0,1.543685,32185.0,8,0,1,0,2.0
382,0,0.274585,43,1,0.249937,,13,0,1,0,0.0
383,0,0.575038,22,3,0.162346,2350.0,11,0,0,0,0.0
384,0,0.144008,44,0,0.312601,5324.0,9,2,1,0,0.0
385,0,0.342387,41,0,0.142962,,11,0,4,0,0.0
386,0,0.390389,54,0,0.407951,4410.0,10,0,1,0,0.0
387,0,0.082229,56,0,3.034104,1837.0,6,0,2,0,0.0
388,0,0.165717,78,0,0.841919,3534.0,4,0,4,0,2.0
389,0,0.116064,65,0,1.346919,20936.0,4,0,1,0,2.0
390,0,0.465579,43,0,0.355895,7810.0,3,1,1,0,1.0
391,0,0.279488,39,0,0.197021,669.0,5,0,1,0,2.0
392,0,0.357539,58,0,0.761287,13008.0,10,0,1,0,1.0
393,0,0.418062,33,0,0.645605,11751.0,7,3,1,0,2.0
394,0,0.027864,77,0,2.240275,3687.0,6,0,3,0,2.0
395,0,0.593658,68,0,2.763724,,4,0,0,0,2.0
396,0,0.145076,45,0,1.904987,,6,0,1,0,1.0
397,0,0.429111,28,0,7.451299,3373.0,8,0,2,0,1.0
398,0,0.501933,70,0,0.653449,16298.0,7,0,1,0,0.0
399,1,0.059724,50,0,1.303203,3954.0,7,0,0,0,3.0
400,0,8.022819,69,0,2.625737,1101.0,4,0,2,0,0.0
401,0,0.202976,29,0,1.651826,,7,0,1,0,0.0
